--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/1950 a 01/08/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83714;12/05/1961;0000;;20.2;;5.5;1.5;12.5;91.25;2.333333;
83714;12/05/1961;1200;0;;4.8;;;;;;
83714;13/05/1961;0000;;18.7;;8.6;1.4;11.22;87.25;1.333333;
83714;13/05/1961;1200;0;;3.6;;;;;;
83714;14/05/1961;0000;;20.2;;9;2;10.76;93.75;1.333333;
83714;14/05/1961;1200;0;;3.2;;;;;;
83714;15/05/1961;0000;;20;;9.5;1.7;14.94;89;0.333333;
83714;15/05/1961;1200;0;;4.4;;;;;;
83714;16/05/1961;0000;;20.3;;9.4;1.7;11.06;87;1;
83714;16/05/1961;1200;0;;2.2;;;;;;
83714;17/05/1961;0000;;20.6;;6.8;1.6;11.36;88.25;1.333333;
83714;17/05/1961;1200;0;;4.5;;;;;;
83714;18/05/1961;0000;;20.4;;7.2;1.7;14.7;82.25;3;
83714;18/05/1961;1200;0;;3.8;;;;;;
83714;19/05/1961;0000;;19.7;;8.1;2.2;14.18;91.25;2.333333;
83714;19/05/1961;1200;0;;8.4;;;;;;
83714;20/05/1961;0000;;16.5;;4.6;2;10.78;94.75;1.666667;
83714;20/05/1961;1200;0;;7.8;;;;;;
83714;21/05/1961;0000;;17.8;;7.9;0.9;9.64;92;1.333333;
83714;21/05/1961;1200;0;;4;;;;;;
83714;22/05/1961;0000;;19.6;;7.2;1.3;10.32;91.25;1.333333;
83714;22/05/1961;1200;0;;5;;;;;;
83714;23/05/1961;0000;;17.8;;0.8;1.2;11.26;91.5;0.666667;
83714;23/05/1961;1200;0;;5.6;;;;;;
83714;24/05/1961;0000;;19.6;;6;1.6;10.06;89.75;0.333333;
83714;24/05/1961;1200;0;;3.9;;;;;;
83714;25/05/1961;0000;;17.3;;5.1;1.2;9.18;89.75;0.333333;
83714;25/05/1961;1200;0;;2.8;;;;;;
83714;26/05/1961;0000;;18.2;;7.6;1.3;9.12;89.25;1.333333;
83714;26/05/1961;1200;0;;3.6;;;;;;
83714;27/05/1961;0000;;17.2;;9.1;1.9;8.22;89.5;1.333333;
83714;27/05/1961;1200;0;;1;;;;;;
83714;28/05/1961;0000;;18.5;;9.1;2;10.6;86.25;0.333333;
83714;28/05/1961;1200;0;;0.1;;;;;;
83714;29/05/1961;0000;;19;;8.2;1.9;9.24;83.75;0.333333;
83714;29/05/1961;1200;0;;2.9;;;;;;
83714;30/05/1961;0000;;19.6;;9.8;2.1;8.66;90.5;0;
83714;30/05/1961;1200;0;;0;;;;;;
83714;31/05/1961;0000;;19;;8;2.2;8.48;88;0;
83714;31/05/1961;1200;0;;0.5;;;;;;
83714;01/06/1961;0000;;17.4;;8.5;;10.38;85.25;1.333333;
83714;01/06/1961;1200;0;;-0.6;;;;;;
83714;02/06/1961;0000;;16.2;;8.6;1.4;10.12;85;0.333333;
83714;02/06/1961;1200;0;;2.2;;;;;;
83714;03/06/1961;0000;;19;;6.4;1.2;13.58;89.5;2.333333;
83714;03/06/1961;1200;0;;5.3;;;;;;
83714;04/06/1961;0000;;17.8;;5.2;1.2;11.46;88;2.333333;
83714;04/06/1961;1200;0;;3.1;;;;;;
83714;05/06/1961;0000;;20.6;;8.2;0.8;11.04;86.75;0.333333;
83714;05/06/1961;1200;3.6;;4;;;;;;
83714;06/06/1961;0000;;21.2;;9.4;1.2;9.98;85.75;0.666667;
83714;06/06/1961;1200;0;;3.2;;;;;;
83714;07/06/1961;0000;;19.6;;9.4;2.1;9.12;87.5;1;
83714;07/06/1961;1200;0;;1.6;;;;;;
83714;08/06/1961;0000;;17.6;;5.6;2.1;10.08;91.25;1.333333;
83714;08/06/1961;1200;0;;2;;;;;;
83714;09/06/1961;0000;;19;;9.3;1.2;10.4;89.75;2;
83714;09/06/1961;1200;0;;3.6;;;;;;
83714;10/06/1961;0000;;17.9;;8.5;1.7;12.24;89.75;1.666667;
83714;10/06/1961;1200;0;;3.7;;;;;;
83714;11/06/1961;0000;;16.8;;6.2;1.7;13.56;92;3.666667;
83714;11/06/1961;1200;0;;10;;;;;;
83714;12/06/1961;0000;;19.1;;5.8;1.6;13.14;93;3;
83714;12/06/1961;1200;1.2;;7.4;;;;;;
83714;13/06/1961;0000;;19.5;;6.2;0.8;14.02;93.75;0;
83714;13/06/1961;1200;4;;9;;;;;;
83714;14/06/1961;0000;;17.3;;2;2.4;14.24;90;3.666667;
83714;14/06/1961;1200;0;;12.8;;;;;;
83714;15/06/1961;0000;;12.9;;0;0.3;9.6;93.25;3;
83714;15/06/1961;1200;3;;8.1;;;;;;
83714;16/06/1961;0000;;13.7;;1.3;0.7;9.3;96.75;1.666667;
83714;16/06/1961;1200;5.5;;6.6;;;;;;
83714;17/06/1961;0000;;10.7;;0;1;8.72;97;1.333333;
83714;17/06/1961;1200;0;;6.7;;;;;;
83714;18/06/1961;0000;;17.3;;7;0.3;11.06;93.25;2.333333;
83714;18/06/1961;1200;0.2;;4;;;;;;
83714;19/06/1961;0000;;16.2;;8.1;1.2;11.36;95.5;2.333333;
83714;19/06/1961;1200;0;;6.4;;;;;;
83714;20/06/1961;0000;;19.1;;8.3;1.3;9.62;88;0.333333;
83714;20/06/1961;1200;0;;4.3;;;;;;
83714;21/06/1961;0000;;19.4;;9.5;1.8;10.14;88;0.666667;
83714;21/06/1961;1200;0;;1.7;;;;;;
83714;22/06/1961;0000;;17.3;;7.9;1.9;11.86;90;1.333333;
83714;22/06/1961;1200;1.8;;7.9;;;;;;
83714;23/06/1961;0000;;17.5;;7.6;1.8;9.74;91.25;3;
83714;23/06/1961;1200;0;;4.8;;;;;;
83714;24/06/1961;0000;;17.4;;9.1;1.4;11.06;85;2;
83714;24/06/1961;1200;0;;6.5;;;;;;
83714;25/06/1961;0000;;19.3;;8.7;2.6;9.98;84.5;1.333333;
83714;25/06/1961;1200;0;;1.2;;;;;;
83714;26/06/1961;0000;;17.8;;9.1;2.7;9.1;89.5;1.333333;
83714;26/06/1961;1200;0;;0.8;;;;;;
83714;27/06/1961;0000;;18.3;;7.2;2;10.48;88.5;2;
83714;27/06/1961;1200;0;;5.3;;;;;;
83714;28/06/1961;0000;;19.2;;8.8;1.8;11.12;95.5;0.666667;
83714;28/06/1961;1200;0;;5.6;;;;;;
83714;29/06/1961;0000;;20.5;;9.6;1.3;11.52;88.75;0;
83714;29/06/1961;1200;0;;1;;;;;;
83714;30/06/1961;0000;;19;;6.5;1.9;9.62;92.25;0;
83714;30/06/1961;1200;0;;3.4;;;;;;
83714;01/07/1961;0000;;20;;8.6;1.4;9.18;88.75;0.333333;
83714;01/07/1961;1200;0;;-0.8;;;;;;
83714;02/07/1961;0000;;18;;8.5;2.1;8.82;90.75;1.333333;
83714;02/07/1961;1200;0;;-0.2;;;;;;
83714;03/07/1961;0000;;17.2;;7;1.7;9.06;90;0.666667;
83714;03/07/1961;1200;0;;-0.8;;;;;;
83714;04/07/1961;0000;;17;;4.7;1.6;10.54;82;1.333333;
83714;04/07/1961;1200;0;;6.3;;;;;;
83714;05/07/1961;0000;;18;;7.8;2.2;8.58;90;1;
83714;05/07/1961;1200;0;;1;;;;;;
83714;06/07/1961;0000;;18.6;;8.8;1.8;8.12;91.5;1.333333;
